Queen Cast,,,,,,,,,,
queen,,,,,,,,,,
Resources (rgb),,,,,,,,,,
0,0,100,,,,,,,,
Name,Behavior,Head Size,Components List,,,,,,,
tuto_queen,tuto_genitor_behavior,2,1,123,12,22,25,26,56,2
origin, tuto_origin_behavior,0,,,,,,,,
tuto_farmer, tuto_farmer_behavior,3,18,78,4,22,128,,,
tuto_soldier,tuto_soldier_behavior,4,159,98,9,128,30,11,,
tuto_scoot,tuto_scoot_behavior,3,18,78,1,22,,,,
tuto_picker,tuto_pick_behavior,1,23,32,56,22,36,,,
Cast, Parent,,,,,,,,,
origin,,,,,,,,,,
tuto_farmer,origin,,,,,,,,,
tuto_soldier,origin,,,,,,,,,
tuto_scoot,tuto_farmer,,,,,,,,,
tuto_picker,tuto_farmer,,,,,,,,,
